refyear,flowcode,partnerdesc,cmdcode,cmddesc,primaryvalue,continent,partner_lat,partner_lon
2010,X,Austria,5,Other animal products,6199.8555533,Europe,47.5,14.6
2010,X,Bahamas,2,Meat & offal,276620.63556180004,Other,0.0,0.0
2010,X,Belgium,2,Meat & offal,37646776.0536376,Europe,50.5,4.5
2010,X,Belgium,5,Other animal products,209664.19878880001,Europe,50.5,4.5
2010,X,Algeria,2,Meat & offal,1131134.8480386,Africa,0.0,0.0
2010,X,Angola,2,Meat & offal,139254.0567708,Africa,0.0,0.0
2010,X,Australia,2,Meat & offal,96839.840232,Oceania,-25.3,133.8
2010,X,Australia,5,Other animal products,69956.786823,Oceania,-25.3,133.8
2010,X,Albania,5,Other animal products,2151.6854308,Europe,0.0,0.0
2010,X,Trinidad and Tobago,4,"Dairy, eggs & honey",9877038.1972985,Americas,0.0,0.0
2010,X,United Arab Emirates,4,"Dairy, eggs & honey",7826068.9819953,Middle East,23.4,53.8
2010,X,United Arab Emirates,10,Cereals,3363.6343515,Middle East,23.4,53.8
2010,X,Tunisia,4,"Dairy, eggs & honey",836112.8010277,Africa,0.0,0.0
2010,X,Türkiye,4,"Dairy, eggs & honey",6168473.8371543,Middle East,39.0,35.0
2010,X,Uganda,4,"Dairy, eggs & honey",20.0154186,Africa,0.0,0.0
